ProphageID	Phylum	Class	Order	Family	Genus	Species	strain	NCBItaxonomyID
g.1032.pp.1	Proteobacteria;	Gammaproteobacteria;	Alteromonadales;	Shewanellaceae;	Shewanella		W3-18-1	351745
g.1144.pp.4	Proteobacteria;	Deltaproteobacteria;	Myxococcales;	Archangiaceae;	Stigmatella;	Stigmatellaaurantiaca	DW4/3-1	378806
g.1207.pp.8	Proteobacteria;	Gammaproteobacteria;	Xanthomonadales;	Xanthomonadaceae;	Stenotrophomonas		SKA14	391601
g.1257.pp.4	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Leptothrix;	Leptothrixcholodnii		SP-6	395495
g.1293.pp.2	Proteobacteria;	Gammaproteobacteria;	Legionellales;	Legionellaceae;	Legionella;	Legionellapneumophila	str.Corby	400673
g.1302.pp.2	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Burkholderiaceae;	Ralstonia;	Ralstoniapickettii	12J	402626
g.1343.pp.3	Proteobacteria;	Gammaproteobacteria;	Enterobacterales;	Morganellaceae;	Xenorhabdus;	Xenorhabdusbovienii	SS-2004	406818
g.1354.pp.3	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Blautia;	Blautiaobeum	ATCC29174	411459
g.1363.pp.1	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]scindens	ATCC35704	411468
g.1363.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]scindens	ATCC35704	411468
g.1365.pp.3	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Blautia;	[Ruminococcus]gnavus	ATCC29149	411470
g.1368.pp.5	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesovatus	ATCC8483	411476
g.1372.pp.5	Firmicutes;	Clostridia;	Clostridiales;	Ruminococcaceae;	Faecalibacterium;	Faecalibacteriumprausnitzii	A2-165	411483
g.1375.pp.2	Firmicutes;	Clostridia;	Clostridiales;	Clostridiaceae;	Clostridium		M62/1	411486
g.1380.pp.3	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]bolteae	ATCCBAA-613	411902
g.1381.pp.1	Actinobacteria;	Coriobacteriia;	Coriobacteriales;	Coriobacteriaceae;	Collinsella;	Collinsellaaerofaciens	ATCC25986	411903
g.1522.pp.3	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Rikenellaceae;	Alistipes;	Alistipesputredinis	DSM17216	445970
g.1527.pp.1	Actinobacteria;	Coriobacteriia;	Coriobacteriales;	Coriobacteriaceae;	Collinsella;	Collinsellastercoris	DSM13279	445975
g.1552.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesstercoris	ATCC43183	449673
g.1599.pp.6	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		1130	457387
g.1601.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		3123	457390
g.1602.pp.4	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		3133FAA	457391
g.1606.pp.6	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		9142FAA	457395
g.1613.pp.5	Firmicutes;	Clostridia;	Clostridiales;	Ruminococcaceae;	Ruminococcus		5139BFAA	457412
g.1615.pp.3	Firmicutes;	Clostridia;	Clostridiales				1747FAA	457421
g.1616.pp.10	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		3112	457424
g.1616.pp.11	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		3112	457424
g.1648.pp.1	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		1114	469585
g.1648.pp.4	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		1114	469585
g.1649.pp.4	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		116	469586
g.1653.pp.13	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		224	469590
